Event_id,Episode,Radius,Population
1000094,2,5 km,<1000 people
1000094,2,2 km,<1000 people
1000095,2,Radius,Population
1000095,2,100 km,2.8 million people
1000095,2,75 km,2.1 million people
1000095,2,50 km,1.2 million people
1000095,2,30 km,950000 people
1000095,2,20 km,330000 people
1000095,2,10 km,<1000 people
1000095,2,5 km,<1000 people
1000095,2,2 km,no people
1000096,1,Radius,Population
1000096,1,100 km,210000 people
1000096,1,75 km,44000 people
1000096,1,50 km,1200 people
1000096,1,30 km,no people
1000096,1,20 km,no people
1000096,1,10 km,no people
1000096,1,5 km,no people
1000096,1,2 km,no people
1000097,1,Radius,Population
1000097,1,100 km,290000 people
1000097,1,75 km,270000 people
1000097,1,50 km,77000 people
1000097,1,30 km,30000 people
1000097,1,20 km,7800 people
1000097,1,10 km,<1000 people
1000097,1,5 km,<1000 people
1000097,1,2 km,<1000 people
1000098,1,Radius,Population
1000098,1,100 km,10.8 million people
1000098,1,75 km,5.6 million people
1000098,1,50 km,2.4 million people
1000098,1,30 km,870000 people
1000098,1,20 km,360000 people
1000098,1,10 km,88000 people
1000098,1,5 km,2700 people
1000098,1,2 km,no people
1000099,1,Radius,Population
1000099,1,100 km,740000 people
1000099,1,75 km,640000 people
1000099,1,50 km,250000 people
1000099,1,30 km,84000 people
1000099,1,20 km,41000 people
1000099,1,10 km,18000 people
1000099,1,5 km,<1000 people
1000099,1,2 km,no people
211060,11,Radius,Population
211060,11,100 km,2.7 million people
211060,11,75 km,1.8 million people
211060,11,50 km,1.2 million people
211060,11,30 km,940000 people
211060,11,20 km,220000 people
211060,11,10 km,<1000 people
211060,11,5 km,<1000 people
211060,11,2 km,<1000 people
252010,1,Radius,Population
252010,1,100 km,48000 people
252010,1,75 km,36000 people
252010,1,50 km,20000 people
252010,1,30 km,11000 people
252010,1,20 km,7400 people
252010,1,10 km,2900 people
252010,1,5 km,<1000 people
252010,1,2 km,<1000 people
261080,3,Radius,Population
261080,3,100 km,8.2 million people
261080,3,75 km,6.3 million people
261080,3,50 km,1.3 million people
261080,3,30 km,260000 people
261080,3,20 km,200000 people
261080,3,10 km,71000 people
261080,3,5 km,16000 people
261080,3,2 km,<1000 people
352090,7,Radius,Population
352090,7,100 km,1.5 million people
352090,7,75 km,700000 people
352090,7,50 km,240000 people
352090,7,30 km,19000 people
352090,7,20 km,7300 people
352090,7,10 km,<1000 people
352090,7,5 km,<1000 people
352090,7,2 km,<1000 people
